year,data,median,LB,UB
1,15.933,14.933,14.933,14.933
2,16.268,16.4631781121891,15.1991607031091,17.6536861365348
3,16.446,16.9370644399487,15.7474699592388,18.1420085354107
4,16.951,17.255117065643,16.0703214970624,18.4584022333511
5,17.745,17.571326318999,16.3670732911965,18.7978079482002
6,18.32,17.8460381818578,16.6715295912708,18.9914521253075
7,18.657,18.1137538333194,16.9187702715671,19.2554774657747
8,18.892,18.3930737262664,17.1880275652319,19.5522694105121
9,19.11,18.6305981831356,17.4518560273119,19.7813091111361
10,19.318,18.8889313264346,17.70681739249,20.0444131288076
11,19.379,19.1337075088894,17.960676561616,20.3226310602853
12,19.573,19.3922796205156,18.2373248037762,20.5476199588685
13,19.908,19.6335148562103,18.463627911368,20.7817306895823
14,19.986,19.8843285997327,18.7120421334719,21.0533882506558
15,20.402,20.1414766683298,18.9870665616164,21.2997007898276
16,20.729,20.3602131258398,19.2279144162163,21.5280285259593
17,20.484,20.5779848720278,19.4151356706853,21.7072910993779
18,20.446,20.821244162231,19.6494512478626,22.0020390925475
19,20.658,21.0380016099172,19.8959485186397,22.2301374352366
20,21.035,21.2571822392297,20.0437997871079,22.435297175178
21,21.267,21.4447770682016,20.3126700699656,22.6077675147392
22,21.49,21.6063271292847,20.3832025943348,22.7757774703075
23,21.798,21.7839766819397,20.6384376327565,22.94375923369
24,21.978,21.9397968067243,20.7551266154834,23.1041480293686
25,22.176,22.0486819553182,20.8605977814226,23.203486659189
26,22.362,22.1285540739167,20.9341332945566,23.320982774695
27,22.297,22.2327961759403,21.0271957722981,23.3952486778341
28,21.956,22.3091355737372,21.1020108364837,23.4647470982491
29,21.817,22.2848872128263,21.1210454256946,23.4809780394474
30,21.795,22.3313912102927,21.1257891939401,23.4962070718133
31,21.713,22.3278397235815,21.1580057614056,23.5266853372882
32,21.621,22.2623832608773,21.1061101509044,23.4334498915138
33,21.522,22.2118901688579,21.0348227354964,23.4018486131888
34,21.596,22.1529343223423,20.9799966344222,23.3283649086339
35,21.614,22.0596936366596,20.876660327827,23.2182718396894
36,21.702,21.9389627668351,20.7550483993966,23.1002285487381
37,21.597,21.791224373862,20.5875451688912,22.9463809591269
38,21.511,21.6391776150191,20.4512827081302,22.833329346625
39,21.502,21.4542664457146,20.3096097396018,22.6015481389579
40,21.592,21.2352216446198,20.0831817053571,22.3566584530439
41,21.598,21.0326614971577,19.8603619509142,22.1771406877158
42,21.529,20.7982910264524,19.66258983283,21.9914724189202
43,21.375,20.5684534523143,19.4216754123753,21.7487129859709
44,21.249,20.3096787256436,19.1574572691507,21.490917458109
45,21.082,20.0527174622894,18.8620907815974,21.2203880700251
46,20.768,19.7816706693047,18.6045131729539,20.9282145396112
47,20.381,19.5017048711052,18.3773579595396,20.6361231513805
48,19.929,19.2125815096066,18.0751073290481,20.3566719706808
49,19.507,18.9236692336489,17.730833628956,20.080161950329
50,19.181,18.6283164837498,17.4720054925506,19.812192742234
51,18.659,18.3344227200789,17.1617987304047,19.5344759535275
52,18.179,18.0375213913683,16.8207951375181,19.1865775509214
53,17.72,17.734639003507,16.582020627525,18.8970998793936
54,17.225,17.438277580093,16.2357073788344,18.622537559129
55,16.744,17.1665973322531,15.9937236129667,18.3256460537859
56,16.186,16.87375450627,15.6660335441715,18.0651592492679
57,15.706,16.5976293398145,15.4423788173413,17.7706991088177
58,15.174,16.331335582049,15.1415555460554,17.5344545905457
59,14.72,16.0535732123674,14.869975193184,17.2320478137377
60,14.289,15.7846982810961,14.5890981642789,16.9668145393369
61,13.984,15.5321349880065,14.3160372766947,16.6797208153239
62,13.754,15.2654366514885,14.0422040004602,16.4837126073607
63,13.537,15.0267666100655,13.7805775702579,16.2281924180997
64,13.178,14.7866003648758,13.6448087680975,15.9742212523672
65,12.872,14.5486824475522,13.3548061238268,15.7462302017268
66,12.703,14.3312128816923,13.1090646740189,15.4987363166484
67,12.469,14.0887608741609,12.9110418759288,15.269107582213
68,12.226,13.8514139194252,12.6725351127629,15.0350910183491
