Date,data,median,LB,UB
01-01-2020,15.933,14.933,14.933,14.933
02-01-2020,16.268,12.5622176823168,9.88944942768721,15.2345092989842
03-01-2020,16.446,14.0421450409588,11.406238810318,16.7000773135039
04-01-2020,16.951,15.2577275620744,12.5899284853202,17.8837446506793
05-01-2020,17.745,16.2852986805949,13.6705632780406,18.8762539580363
06-01-2020,18.32,17.1829858834381,14.6134825280283,19.766205713271
07-01-2020,18.657,17.9910658288764,15.4211882468873,20.5771996254923
08-01-2020,18.892,18.6573369285508,16.1255434934288,21.270258134916
09-01-2020,19.11,19.2455939734887,16.7134853050686,21.8859861185977
10-01-2020,19.318,19.7872998253341,17.1202237122147,22.3991014645167
11-01-2020,19.379,20.2588450389625,17.6974690781204,22.8249622923411
12-01-2020,19.573,20.6304075445796,18.0934512435417,23.13870285588
01-01-2021,19.908,20.9960633595787,18.48388973996,23.5743469490499
02-01-2021,19.986,21.2954408164106,18.7773252225321,23.9376021286828
03-01-2021,20.402,21.5547646969376,19.0347216894855,24.1231216207293
04-01-2021,20.729,21.7644592786657,19.1939077025719,24.3814545200192
05-01-2021,20.484,21.9605952960722,19.4141089348432,24.4382928791141
06-01-2021,20.446,22.1384897163498,19.5323661349047,24.6051614846498
07-01-2021,20.658,22.2171448150909,19.6315473461122,24.7583116767966
08-01-2021,21.035,22.2887408797313,19.7683203845271,24.7709833210904
09-01-2021,21.267,22.3229076255515,19.8592866978948,24.8969556750749
10-01-2021,21.49,22.3763286467595,19.8595810250893,24.9342994388248
11-01-2021,21.798,22.4135055997267,19.8723069197743,24.8557048114857
12-01-2021,21.978,22.3885337494942,19.8932152204142,24.971280327509
01-01-2022,22.176,22.342768012686,19.793688671935,24.841096340105
02-01-2022,22.362,22.2744721938217,19.7910845764524,24.7875371781879
03-01-2022,22.297,22.1773810089179,19.6591747025325,24.7151685955378
04-01-2022,21.956,22.1228799161811,19.5360299071498,24.7015231809206
05-01-2022,21.817,21.9479289094433,19.4363404218849,24.4621048963761
06-01-2022,21.795,21.8464569075719,19.327253214712,24.380524318278
07-01-2022,21.713,21.7581172365726,19.2007009290775,24.2471600698091
08-01-2022,21.621,21.5676850497998,19.0413060190189,24.0552931137774
09-01-2022,21.522,21.4100570369735,18.9448157633761,23.8910375068666
10-01-2022,21.596,21.2249164550679,18.7555542224717,23.8574052943957
11-01-2022,21.614,21.0202534045938,18.4945107920068,23.6263760907494
12-01-2022,21.702,20.8301475547908,18.3211042169372,23.3730928587864
01-01-2023,21.597,20.6279981761259,18.1608864046439,23.175112039185
02-01-2023,21.511,20.4307657578846,17.9006107350591,22.904028942323
03-01-2023,21.502,20.2444073385721,17.7827460941633,22.7929176750354
04-01-2023,21.592,19.988804417078,17.5436794323792,22.5063765452942
05-01-2023,21.598,19.7920245733459,17.303359452693,22.3120417951443
06-01-2023,21.529,19.5756174523684,17.0600888538484,22.0538972303488
07-01-2023,21.375,19.3638217039393,16.8435011024035,21.8744534660328
08-01-2023,21.249,19.1350385727658,16.7193748749134,21.6657472486137
09-01-2023,21.082,18.8831949831978,16.3077181680637,21.4146715240235
10-01-2023,20.768,18.6672196607318,16.1415294623246,21.1640584025038
11-01-2023,20.381,18.4058844367096,15.942590380681,20.935277370625
12-01-2023,19.929,18.1574155930899,15.7053790051289,20.7009420745278
01-01-2024,19.507,17.9579506040581,15.5418611956459,20.5179659402947
02-01-2024,19.181,17.7446027588257,15.2266902537241,20.2603050543767
03-01-2024,18.659,17.4744693447958,14.9459799546999,20.0035327926972
04-01-2024,18.179,17.2161726653997,14.7716520268104,19.713528079984
05-01-2024,17.72,17.0052187303228,14.5189145160266,19.459407589012
06-01-2024,17.225,16.8134706367859,14.2928107290394,19.394908326134
07-01-2024,16.744,16.5761656322602,14.1379242325827,19.0820838647985
